FName,MName,LName,BirthDate,Gender,MaritalStatus,PrimaryPhone,SecPhone,PersonEmail,OfficialEmail,PostAddress,ResAddress,Landmark,DateEmployed,DepartureDate
Valeria,Veronica,Mills,1999-02-15,Female,Married,265 99 8289729,265 99 722169,self@emila.com,me@email.com,,,,2024-01-28,
Kendra,Veronica,Vance,1982-02-15,Female,Divorced,265 99 3548373,265 99 3815588,self@emila.com,me@email.com,,,,2023-09-13,2024-01-08
Madelynn,Justice,Turner,1984-02-15,Female,Divorced,265 99 1478952,265 99 8934090,self@emila.com,me@email.com,,,,2022-04-01,2023-09-13
Marisol,Kendra,Clarkson,1991-02-15,Female,Other,265 88 1774758,265 99 6839680,self@emila.com,me@email.com,,,,2022-01-13,
Taliyah,Rayna,Allan,1978-02-15,Female,Other,265 88 564627,265 88 505808,self@emila.com,me@email.com,,,,2022-05-12,
Kendra,Rayna,Mitchell,1998-02-15,Female,Other,265 99 4474008,265 88 3065625,self@emila.com,me@email.com,,,,2021-08-26,
Valeria,Alannah,Fraser,2001-02-15,Female,Single,265 88 3085593,265 99 6671215,self@emila.com,me@email.com,,,,2021-06-25,
Arielle,Kendra,Hart,1989-02-15,Female,Divorced,265 99 994195,265 99 2402915,self@emila.com,me@email.com,,,,2021-12-11,
Valeria,Joslyn,Simpson,1986-02-15,Female,Other,265 88 124171,265 88 756212,self@emila.com,me@email.com,,,,2023-11-18,
Shyla,Myah,Manning,2006-02-15,Female,Divorced,265 99 3405946,265 99 9508484,self@emila.com,me@email.com,,,,2021-10-24,
Arielle,Mira,Rutherford,1998-02-15,Female,Other,265 88 6676200,265 88 3144816,self@emila.com,me@email.com,,,,2023-01-22,
Cierra,Mira,Pullman,1998-02-15,Female,Divorced,265 88 7261297,265 99 8695492,self@emila.com,me@email.com,,,,2021-07-10,
Elsie,Valeria,Lawrence,1980-02-15,Female,Single,265 99 4965406,265 88 8118321,self@emila.com,me@email.com,,,,2021-11-14,2022-02-08
Perla,Ana,Young,2003-02-15,Female,Married,265 99 7643084,265 88 247984,self@emila.com,me@email.com,,,,2022-02-08,
Alannah,Sydney,Greene,1987-02-15,Female,Other,265 88 2795929,265 99 3654864,self@emila.com,me@email.com,,,,2022-04-04,
Piper,Mira,Turner,2003-02-15,Female,Married,265 99 171150,265 99 624748,self@emila.com,me@email.com,,,,2023-06-14,2024-01-08
Shirley,Jayla,Peters,1981-02-15,Female,Other,265 88 3009219,265 88 9780989,self@emila.com,me@email.com,,,,2023-03-28,
Rachael,Monica,Skinner,2003-02-15,Female,Single,265 88 4399034,265 88 9001185,self@emila.com,me@email.com,,,,2021-08-20,2023-03-28
Cassidy,Alannah,Bower,1999-02-15,Female,Single,265 99 645976,265 99 580893,self@emila.com,me@email.com,,,,2022-12-27,
Emery,Jayla,Hemmings,1980-02-15,Female,Married,265 99 5015085,265 88 5144240,self@emila.com,me@email.com,,,,2021-08-20,2022-12-27
Giana,Elianna,Coleman,1981-02-15,Female,Married,265 99 2256541,265 88 1493407,self@emila.com,me@email.com,,,,2024-02-04,
Shyla,Marina,Gill,1982-02-15,Female,Married,265 88 5387573,265 99 896884,self@emila.com,me@email.com,,,,2023-08-08,
Perla,Sydney,Ellison,1992-02-15,Female,Divorced,265 99 7598002,265 99 2220560,self@emila.com,me@email.com,,,,2023-11-12,
Kyra,Rayna,Black,1996-02-15,Female,Other,265 99 6153730,265 99 8004923,self@emila.com,me@email.com,,,,2022-12-06,
Perla,Izabelle,Poole,1989-02-15,Female,Other,265 88 1834993,265 99 9504936,self@emila.com,me@email.com,,,,2021-09-09,
Yesenia,Elsie,Ogden,1984-02-15,Female,Married,265 99 6958554,265 88 9899287,self@emila.com,me@email.com,,,,2021-08-08,2022-04-04
Tiara,Tiara,Kerr,1981-02-15,Female,Divorced,265 88 3249254,265 88 8589427,self@emila.com,me@email.com,,,,2021-11-11,2024-02-04
